kegg	C00002	C00008	C00019	C00020	C00022	C00025	C00029	C00031	C00033	C00037	C00041	C00042	C00043	C00047	C00049	C00051	C00059	C00062	C00064	C00073	C00074	C00077	C00078	C00079	C00081	C00085	C00089	C00093	C00096	C00105	C00106	C00109	C00111	C00116	C00117	C00121	C00122	C00123	C00127	C00135	C00141	C00147	C00148	C00149	C00156	C00158	C00163	C00170	C00183	C00184	C00188	C00197	C00233	C00246	C00249	C00262	C00279	C00294	C00295	C00299	C00319	C00322	C00334	C00337	C00354	C00417	C00418	C00433	C00438	C00440	C00441	C00449	C00489	C00546	C00624	C00632	C00637	C00669	C00684	C00689	C00705	C00712	C00725	C00906	C00944	C00956	C00989	C01005	C01092	C01102	C01103	C01233	C01243	C01353	C01454	C01530	C01571	C01595	C01801	C01877	C02123	C02165	C02631	C02679	C02946	C03090	C03406	C03564	C04002	C04148	C04546	C04666	C04677	C04734	C04895	C05382	C06423	C06424	C08320	C08362	C12144	C15808
C00116	8.0	8.0	7.0		5.0		8.0	6.0	5.0	5.0	8.0	6.0	7.0		4.0	4.0	11.0	6.0	5.0	6.0	4.0	6.0	5.0	9.0		7.0	8.0	2.0	8.0	6.0	6.0	6.0	4.0	0.0	6.0		6.0	10.0	6.0	8.0	7.0		9.0	6.0	6.0	5.0	4.0	7.0	8.0	5.0	6.0	5.0	7.0	6.0	12.0	5.0	3.0	6.0	5.0	7.0	7.0		7.0	6.0		6.0	8.0		5.0	7.0	5.0		7.0	3.0	8.0	5.0	7.0	5.0		7.0	9.0	8.0	6.0	7.0	5.0		7.0	6.0	7.0	7.0	5.0	7.0	9.0	6.0	10.0	9.0	7.0	7.0	8.0		8.0		9.0	7.0	6.0	5.0	5.0	8.0	8.0	7.0	8.0	6.0	6.0	6.0	11.0	4.0	7.0	7.0	7.0	7.0	9.0	8.0
C00117	5.0	5.0	2.0		2.0		6.0	4.0	2.0	2.0	5.0	3.0	4.0		3.0	3.0	8.0	5.0	3.0	3.0	3.0	4.0	3.0	7.0		5.0	6.0	5.0	6.0	2.0	1.0	3.0	2.0	6.0	0.0		4.0	7.0	5.0	3.0	4.0		7.0	4.0	3.0	4.0	4.0	2.0	5.0	4.0	3.0	4.0	6.0	3.0	10.0	1.0	3.0	1.0	3.0	1.0	5.0		6.0	4.0		4.0	6.0		4.0	3.0	3.0		5.0	4.0	6.0	4.0	5.0	3.0		5.0	5.0	5.0	5.0	6.0	5.0		4.0	4.0	6.0	4.0	3.0	6.0	7.0	3.0	8.0	6.0	6.0	6.0	6.0		3.0		4.0	6.0	3.0	3.0	4.0	6.0	3.0	4.0	3.0	4.0	4.0	3.0	8.0	2.0	6.0	6.0	6.0	6.0	7.0	5.0
C00121																																				0.0																																											2.0																																											
C00122	4.0	4.0	4.0		3.0		6.0	4.0	4.0	3.0	5.0	2.0	6.0		2.0	4.0	7.0	1.0	2.0	3.0	3.0	2.0	4.0	7.0		5.0	6.0	4.0	6.0	4.0	4.0	3.0	4.0	6.0	4.0		0.0	7.0	6.0	5.0	3.0		5.0	1.0	4.0	3.0	5.0	4.0	4.0	3.0	4.0	4.0	8.0	4.0	10.0	3.0	4.0	4.0	1.0	5.0	5.0		8.0	1.0		4.0	4.0		2.0	3.0	4.0		3.0	5.0	4.0	4.0	6.0	4.0		5.0	5.0	5.0	2.0	8.0	5.0		4.0	4.0	8.0	5.0	2.0	7.0	8.0	3.0	8.0	6.0	8.0	8.0	4.0		5.0		5.0	8.0	5.0	3.0	1.0	4.0	5.0	5.0	5.0	2.0	1.0	2.0	8.0	4.0	8.0	8.0	8.0	8.0	7.0	7.0
C00123	9.0	9.0	6.0		7.0		9.0	8.0	7.0	7.0	9.0	7.0	9.0		8.0	7.0	12.0	8.0	8.0	7.0	8.0	9.0	8.0	12.0		9.0	9.0	9.0	10.0	7.0	7.0	6.0	7.0	10.0	7.0		7.0	0.0	9.0	7.0	9.0		12.0	8.0	8.0	8.0	8.0	9.0	10.0	6.0	8.0	9.0	8.0	8.0	15.0	8.0	7.0	8.0	7.0	8.0	10.0		8.0	7.0		8.0	3.0		8.0	8.0	8.0		6.0	8.0	11.0	8.0	10.0	8.0		8.0	10.0	10.0	6.0	8.0	9.0		7.0	9.0	8.0	8.0	8.0	8.0	9.0	8.0	13.0	11.0	8.0	8.0	7.0		7.0		8.0	8.0	6.0	8.0	8.0	11.0	7.0	9.0	7.0	9.0	8.0	9.0	13.0	7.0	8.0	8.0	8.0	8.0	12.0	7.0
C00127	7.0	7.0	5.0		4.0		8.0	6.0	5.0	3.0	7.0	5.0	7.0		6.0	2.0	10.0	7.0	5.0	5.0	5.0	7.0	5.0	8.0		7.0	8.0	5.0	8.0	5.0	5.0	5.0	5.0	6.0	5.0		6.0	9.0	0.0	6.0	5.0		10.0	5.0	5.0	6.0	4.0	7.0	6.0	3.0	4.0	6.0	8.0	5.0	11.0	6.0	5.0	6.0	5.0	6.0	6.0		8.0	5.0		6.0	6.0		6.0	5.0	4.0		5.0	3.0	9.0	4.0	7.0	3.0		7.0	7.0	7.0	5.0	8.0	7.0		6.0	5.0	8.0	5.0	6.0	8.0	9.0	5.0	9.0	8.0	8.0	8.0	6.0		6.0		7.0	8.0	6.0	4.0	7.0	9.0	6.0	7.0	6.0	6.0	5.0	5.0	10.0	5.0	8.0	8.0	8.0	8.0	8.0	7.0
C00135	5.0	5.0	1.0		3.0		6.0	6.0	3.0	4.0	5.0	5.0	5.0		5.0	4.0	8.0	5.0	4.0	2.0	4.0	4.0	4.0	8.0		6.0	6.0	6.0	8.0	5.0	4.0	5.0	4.0	8.0	3.0		5.0	7.0	6.0	0.0	4.0		7.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	10.0	4.0	5.0	3.0	4.0	4.0	5.0		5.0	4.0		3.0	6.0		5.0	3.0	5.0		6.0	5.0	6.0	4.0	6.0	5.0		5.0	6.0	6.0	5.0	5.0	6.0		6.0	4.0	5.0	5.0	5.0	5.0	6.0	4.0	9.0	7.0	5.0	5.0	6.0		2.0		3.0	5.0	4.0	5.0	6.0	6.0	2.0	7.0	2.0	4.0	4.0	4.0	9.0	5.0	5.0	5.0	5.0	5.0	7.0	4.0
C00141	5.0	5.0	3.0		3.0		7.0	5.0	3.0	2.0	3.0	4.0	5.0		4.0	3.0	8.0	4.0	3.0	2.0	4.0	5.0	3.0	7.0		6.0	7.0	6.0	7.0	4.0	4.0	4.0	3.0	7.0	4.0		3.0	9.0	5.0	4.0	0.0		8.0	4.0	4.0	5.0	5.0	6.0	1.0	4.0	3.0	5.0	7.0	4.0	9.0	4.0	4.0	4.0	4.0	5.0	4.0		7.0	4.0		5.0	6.0		5.0	2.0	3.0		3.0	4.0	7.0	4.0	5.0	3.0		6.0	4.0	6.0	5.0	7.0	6.0		5.0	3.0	7.0	4.0	5.0	7.0	8.0	4.0	8.0	7.0	7.0	7.0	2.0		3.0		2.0	7.0	4.0	3.0	4.0	7.0	4.0	6.0	4.0	3.0	2.0	2.0	8.0	4.0	7.0	7.0	7.0	7.0	6.0	6.0
C00147																																										0.0																																																																																
C00148	9.0	9.0	6.0		6.0		9.0	7.0	8.0	7.0	7.0	7.0	9.0		5.0	8.0	12.0	4.0	5.0	8.0	7.0	3.0	8.0	10.0		8.0	9.0	8.0	9.0	8.0	8.0	8.0	8.0	9.0	7.0		5.0	12.0	10.0	7.0	8.0		0.0	6.0	7.0	8.0	8.0	5.0	9.0	8.0	8.0	8.0	10.0	7.0	14.0	7.0	8.0	8.0	6.0	8.0	9.0		10.0	6.0		8.0	9.0		5.0	8.0	8.0		8.0	8.0	5.0	8.0	10.0	8.0		8.0	10.0	7.0	7.0	10.0	9.0		9.0	8.0	10.0	9.0	7.0	10.0	11.0	5.0	11.0	8.0	10.0	10.0	9.0		7.0		8.0	10.0	9.0	6.0	5.0	1.0	7.0	9.0	7.0	6.0	6.0	7.0	12.0	7.0	10.0	10.0	10.0	10.0	11.0	9.0
C00149	4.0	4.0	4.0		2.0		7.0	5.0	4.0	2.0	6.0	2.0	6.0		3.0	3.0	7.0	2.0	3.0	4.0	2.0	3.0	4.0	7.0		6.0	7.0	5.0	7.0	4.0	4.0	3.0	4.0	6.0	4.0		1.0	8.0	5.0	5.0	4.0		6.0	0.0	3.0	2.0	4.0	5.0	5.0	4.0	3.0	3.0	8.0	3.0	10.0	4.0	3.0	5.0	2.0	5.0	5.0		8.0	2.0		3.0	5.0		3.0	4.0	3.0		4.0	4.0	5.0	3.0	6.0	3.0		6.0	5.0	5.0	3.0	8.0	4.0		4.0	4.0	8.0	4.0	3.0	8.0	9.0	3.0	8.0	6.0	8.0	8.0	5.0		5.0		6.0	8.0	5.0	3.0	2.0	5.0	5.0	6.0	5.0	3.0	2.0	3.0	8.0	4.0	8.0	8.0	8.0	8.0	7.0	7.0
C00156	5.0	5.0	3.0		1.0		6.0	4.0	3.0	3.0	6.0	3.0	5.0		3.0	3.0	8.0	4.0	2.0	4.0	2.0	4.0	3.0	4.0		5.0	6.0	5.0	6.0	3.0	3.0	3.0	3.0	6.0	3.0		4.0	8.0	5.0	4.0	4.0		7.0	3.0	0.0	3.0	3.0	5.0	5.0	3.0	4.0	3.0	7.0	2.0	9.0	4.0	3.0	4.0	4.0	4.0	4.0		7.0	4.0		4.0	5.0		4.0	3.0	4.0		4.0	4.0	6.0	3.0	5.0	4.0		5.0	6.0	4.0	4.0	7.0	4.0		4.0	3.0	7.0	5.0	4.0	7.0	8.0	2.0	5.0	5.0	7.0	7.0	5.0		4.0		5.0	7.0	4.0	3.0	4.0	6.0	4.0	5.0	4.0	3.0	3.0	4.0	7.0	3.0	7.0	7.0	7.0	7.0	6.0	6.0
C00158	5.0	5.0	3.0		2.0		7.0	5.0	4.0	4.0	6.0	3.0	6.0		3.0	4.0	8.0	4.0	3.0	4.0	1.0	5.0	4.0	6.0		6.0	7.0	4.0	7.0	4.0	4.0	4.0	4.0	5.0	4.0		3.0	8.0	6.0	4.0	5.0		8.0	2.0	3.0	0.0	4.0	6.0	6.0	4.0	5.0	2.0	7.0	3.0	10.0	5.0	2.0	5.0	4.0	5.0	5.0		7.0	4.0		1.0	5.0		4.0	4.0	5.0		4.0	4.0	7.0	4.0	6.0	5.0		6.0	6.0	5.0	4.0	7.0	3.0		5.0	4.0	7.0	6.0	5.0	7.0	8.0	3.0	7.0	6.0	7.0	7.0	5.0		4.0		5.0	7.0	5.0	4.0	4.0	7.0	3.0	6.0	4.0	4.0	4.0	5.0	8.0	3.0	7.0	7.0	7.0	7.0	7.0	6.0
C00163	6.0	6.0	4.0		2.0		7.0	5.0	4.0	3.0	6.0	4.0	6.0		4.0	2.0	9.0	5.0	3.0	5.0	3.0	5.0	4.0	7.0		6.0	7.0	3.0	7.0	4.0	4.0	4.0	4.0	4.0	4.0		5.0	8.0	4.0	5.0	5.0		8.0	4.0	3.0	4.0	0.0	6.0	6.0	3.0	4.0	4.0	8.0	3.0	10.0	5.0	3.0	5.0	4.0	5.0	5.0		8.0	4.0		5.0	5.0		5.0	4.0	3.0		4.0	1.0	7.0	4.0	6.0	3.0		6.0	7.0	5.0	4.0	8.0	5.0		5.0	4.0	8.0	5.0	5.0	8.0	9.0	3.0	8.0	6.0	8.0	8.0	5.0		5.0		6.0	8.0	5.0	4.0	5.0	7.0	5.0	6.0	5.0	4.0	4.0	5.0	8.0	4.0	8.0	8.0	8.0	8.0	7.0	7.0
C00170	6.0	6.0	3.0		4.0		8.0	6.0	4.0	4.0	3.0	5.0	6.0		4.0	5.0	9.0	3.0	4.0	5.0	5.0	2.0	5.0	8.0		7.0	8.0	6.0	8.0	4.0	3.0	5.0	4.0	7.0	2.0		4.0	9.0	7.0	4.0	6.0		5.0	5.0	5.0	6.0	6.0	0.0	7.0	5.0	5.0	6.0	7.0	5.0	12.0	2.0	5.0	3.0	4.0	3.0	7.0		7.0	4.0		5.0	7.0		4.0	5.0	5.0		6.0	6.0	4.0	6.0	7.0	5.0		7.0	6.0	6.0	5.0	7.0	7.0		6.0	6.0	7.0	6.0	4.0	7.0	8.0	4.0	9.0	7.0	7.0	7.0	7.0		4.0		5.0	7.0	5.0	4.0	4.0	4.0	4.0	6.0	4.0	5.0	5.0	4.0	10.0	4.0	7.0	7.0	7.0	7.0	9.0	6.0
C00183	6.0	6.0	4.0		4.0		8.0	6.0	4.0	3.0	4.0	5.0	6.0		5.0	4.0	9.0	5.0	4.0	3.0	5.0	6.0	4.0	8.0		7.0	8.0	7.0	8.0	5.0	5.0	5.0	4.0	8.0	5.0		4.0	10.0	6.0	5.0	1.0		9.0	5.0	5.0	6.0	6.0	7.0	0.0	5.0	4.0	6.0	8.0	5.0	10.0	5.0	5.0	5.0	5.0	6.0	5.0		8.0	5.0		6.0	7.0		6.0	3.0	4.0		4.0	5.0	8.0	5.0	6.0	4.0		7.0	5.0	7.0	6.0	8.0	7.0		6.0	4.0	8.0	5.0	6.0	8.0	9.0	5.0	9.0	8.0	8.0	8.0	3.0		4.0		3.0	8.0	5.0	4.0	5.0	8.0	5.0	7.0	5.0	4.0	3.0	3.0	9.0	5.0	8.0	8.0	8.0	8.0	7.0	7.0
C00184	6.0	6.0	4.0		2.0		7.0	5.0	4.0	2.0	5.0	4.0	6.0		4.0	1.0	9.0	4.0	3.0	4.0	3.0	5.0	4.0	7.0		6.0	7.0	4.0	7.0	4.0	4.0	3.0	4.0	5.0	4.0		3.0	6.0	3.0	5.0	4.0		8.0	4.0	3.0	4.0	3.0	5.0	5.0	0.0	3.0	4.0	7.0	3.0	10.0	5.0	4.0	5.0	3.0	5.0	5.0		7.0	3.0		5.0	3.0		4.0	4.0	3.0		2.0	2.0	7.0	3.0	6.0	2.0		6.0	6.0	5.0	2.0	7.0	5.0		4.0	4.0	7.0	4.0	4.0	7.0	8.0	3.0	8.0	6.0	7.0	7.0	3.0		5.0		6.0	7.0	5.0	3.0	4.0	7.0	5.0	6.0	5.0	4.0	4.0	4.0	8.0	4.0	7.0	7.0	7.0	7.0	7.0	6.0
C00188	5.0	5.0	4.0		3.0		6.0	4.0	2.0	1.0	5.0	3.0	4.0		4.0	2.0	8.0	5.0	3.0	3.0	4.0	5.0	3.0	7.0		5.0	6.0	5.0	6.0	3.0	3.0	3.0	3.0	6.0	3.0		4.0	8.0	4.0	5.0	3.0		8.0	3.0	4.0	5.0	4.0	5.0	4.0	3.0	0.0	5.0	8.0	3.0	9.0	4.0	3.0	4.0	4.0	4.0	4.0		8.0	4.0		4.0	6.0		5.0	3.0	1.0		5.0	3.0	7.0	3.0	5.0	2.0		5.0	5.0	6.0	5.0	8.0	5.0		4.0	3.0	8.0	3.0	4.0	8.0	9.0	4.0	8.0	7.0	8.0	8.0	5.0		5.0		5.0	8.0	3.0	2.0	5.0	7.0	5.0	5.0	5.0	4.0	3.0	3.0	9.0	3.0	8.0	8.0	8.0	8.0	6.0	7.0
C00197	6.0	6.0	4.0		2.0		7.0	5.0	4.0	4.0	7.0	4.0	6.0		3.0	4.0	9.0	5.0	3.0	5.0	1.0	5.0	4.0	6.0		6.0	7.0	4.0	7.0	4.0	4.0	4.0	3.0	5.0	4.0		4.0	9.0	6.0	5.0	5.0		8.0	3.0	3.0	2.0	4.0	6.0	6.0	4.0	5.0	0.0	8.0	3.0	10.0	5.0	2.0	5.0	5.0	5.0	5.0		8.0	5.0		3.0	6.0		4.0	4.0	5.0		5.0	4.0	7.0	4.0	6.0	5.0		6.0	7.0	5.0	5.0	8.0	3.0		5.0	3.0	8.0	6.0	5.0	8.0	9.0	3.0	7.0	6.0	8.0	8.0	6.0		5.0		6.0	8.0	5.0	4.0	4.0	7.0	5.0	6.0	5.0	4.0	4.0	5.0	8.0	3.0	8.0	8.0	8.0	8.0	7.0	7.0
C00233	8.0	8.0	4.0		6.0		6.0	7.0	6.0	7.0	8.0	8.0	8.0		8.0	6.0	11.0	8.0	7.0	5.0	7.0	7.0	7.0	11.0		6.0	6.0	5.0	9.0	8.0	7.0	8.0	7.0	7.0	6.0		8.0	8.0	8.0	5.0	7.0		10.0	8.0	7.0	7.0	8.0	7.0	8.0	7.0	8.0	8.0	0.0	7.0	12.0	7.0	7.0	6.0	7.0	7.0	8.0		2.0	7.0		6.0	7.0		8.0	6.0	8.0		9.0	7.0	9.0	7.0	9.0	7.0		5.0	9.0	7.0	8.0	2.0	9.0		9.0	7.0	2.0	8.0	8.0	2.0	6.0	7.0	12.0	8.0	2.0	2.0	9.0		5.0		6.0	2.0	7.0	8.0	9.0	9.0	5.0	10.0	5.0	8.0	7.0	7.0	12.0	7.0	2.0	2.0	2.0	2.0	9.0	4.0
C00246	5.0	5.0	3.0		1.0		6.0	4.0	3.0	3.0	6.0	3.0	5.0		3.0	3.0	8.0	4.0	2.0	4.0	2.0	4.0	3.0	6.0		5.0	6.0	5.0	6.0	3.0	3.0	3.0	3.0	6.0	3.0		4.0	8.0	5.0	4.0	4.0		7.0	3.0	2.0	3.0	3.0	5.0	5.0	3.0	3.0	3.0	7.0	0.0	9.0	4.0	3.0	4.0	4.0	4.0	4.0		7.0	4.0		4.0	5.0		4.0	3.0	4.0		4.0	4.0	6.0	3.0	5.0	4.0		5.0	6.0	4.0	4.0	7.0	4.0		4.0	3.0	7.0	4.0	4.0	7.0	8.0	2.0	7.0	5.0	7.0	7.0	5.0		4.0		5.0	7.0	4.0	3.0	4.0	6.0	4.0	5.0	4.0	3.0	3.0	4.0	7.0	3.0	7.0	7.0	7.0	7.0	6.0	6.0
C00249	11.0	11.0	9.0		8.0		11.0	11.0	9.0	8.0	11.0	9.0	11.0		10.0	9.0	14.0	11.0	9.0	9.0	9.0	11.0	8.0	13.0		8.0	11.0	11.0	8.0	10.0	10.0	9.0	8.0	12.0	10.0		10.0	15.0	11.0	10.0	9.0		14.0	10.0	9.0	10.0	10.0	12.0	10.0	10.0	9.0	10.0	12.0	9.0	0.0	11.0	10.0	10.0	10.0	11.0	5.0		12.0	10.0		11.0	12.0		11.0	9.0	9.0		11.0	10.0	13.0	10.0	10.0	9.0		10.0	11.0	9.0	11.0	12.0	11.0		10.0	8.0	12.0	10.0	11.0	12.0	12.0	9.0	14.0	9.0	12.0	12.0	11.0		10.0		11.0	12.0	10.0	9.0	11.0	13.0	10.0	12.0	10.0	10.0	9.0	9.0	14.0	10.0	12.0	12.0	12.0	12.0	3.0	11.0
C00262	5.0	5.0	3.0		3.0		6.0	4.0	3.0	3.0	5.0	3.0	5.0		2.0	4.0	8.0	4.0	2.0	4.0	4.0	4.0	4.0	6.0		5.0	6.0	4.0	6.0	3.0	2.0	4.0	3.0	5.0	1.0		3.0	8.0	6.0	4.0	4.0		7.0	4.0	4.0	5.0	5.0	2.0	5.0	5.0	4.0	5.0	7.0	4.0	11.0	0.0	4.0	1.0	2.0	2.0	6.0		7.0	4.0		5.0	7.0		3.0	4.0	4.0		6.0	4.0	6.0	4.0	6.0	4.0		5.0	5.0	5.0	5.0	7.0	6.0		5.0	5.0	7.0	5.0	2.0	7.0	8.0	3.0	7.0	6.0	7.0	7.0	6.0		4.0		5.0	7.0	4.0	2.0	3.0	6.0	4.0	5.0	4.0	3.0	3.0	2.0	9.0	3.0	7.0	7.0	7.0	7.0	8.0	6.0
C00279	5.0	5.0	4.0		2.0		5.0	3.0	2.0	2.0	5.0	3.0	4.0		3.0	3.0	8.0	5.0	3.0	3.0	1.0	5.0	3.0	6.0		4.0	5.0	2.0	5.0	3.0	3.0	3.0	2.0	3.0	3.0		4.0	7.0	5.0	5.0	4.0		8.0	3.0	3.0	2.0	3.0	5.0	5.0	4.0	3.0	2.0	7.0	3.0	10.0	4.0	0.0	4.0	4.0	4.0	5.0		7.0	4.0		3.0	6.0		4.0	4.0	3.0		5.0	2.0	7.0	4.0	5.0	3.0		4.0	6.0	5.0	5.0	7.0	2.0		4.0	4.0	7.0	4.0	4.0	7.0	9.0	3.0	7.0	6.0	7.0	7.0	6.0		5.0		6.0	7.0	3.0	3.0	4.0	7.0	5.0	4.0	5.0	4.0	4.0	4.0	8.0	1.0	7.0	7.0	7.0	7.0	7.0	7.0
C00294	5.0	5.0	3.0		3.0		7.0	5.0	3.0	3.0	6.0	4.0	5.0		3.0	4.0	8.0	5.0	3.0	3.0	4.0	5.0	4.0	7.0		6.0	7.0	5.0	7.0	3.0	2.0	4.0	3.0	6.0	1.0		4.0	8.0	6.0	3.0	4.0		8.0	5.0	4.0	5.0	5.0	3.0	5.0	5.0	4.0	5.0	6.0	4.0	10.0	1.0	4.0	0.0	3.0	2.0	5.0		6.0	5.0		4.0	7.0		4.0	3.0	4.0		6.0	5.0	7.0	5.0	6.0	4.0		6.0	6.0	6.0	6.0	6.0	6.0		5.0	4.0	6.0	5.0	3.0	6.0	7.0	4.0	8.0	7.0	6.0	6.0	6.0		3.0		4.0	6.0	4.0	3.0	4.0	7.0	3.0	5.0	3.0	4.0	4.0	3.0	9.0	3.0	6.0	6.0	6.0	6.0	7.0	5.0
C00295	3.0	3.0	3.0		3.0		6.0	4.0	3.0	3.0	4.0	1.0	5.0		3.0	3.0	6.0	2.0	2.0	4.0	4.0	3.0	4.0	6.0		5.0	6.0	4.0	6.0	3.0	3.0	2.0	3.0	5.0	3.0		1.0	7.0	5.0	4.0	4.0		6.0	2.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0	5.0	7.0	4.0	10.0	2.0	4.0	3.0	0.0	4.0	5.0		7.0	2.0		3.0	5.0		3.0	4.0	4.0		4.0	4.0	5.0	4.0	6.0	3.0		5.0	4.0	5.0	3.0	7.0	6.0		3.0	4.0	7.0	4.0	1.0	6.0	7.0	3.0	7.0	6.0	7.0	7.0	5.0		4.0		5.0	7.0	4.0	2.0	2.0	5.0	4.0	5.0	4.0	3.0	2.0	3.0	9.0	3.0	7.0	7.0	7.0	7.0	7.0	6.0
C00299	6.0	6.0	3.0		3.0		7.0	5.0	3.0	3.0	6.0	4.0	5.0		4.0	4.0	9.0	6.0	4.0	4.0	4.0	5.0	4.0	8.0		6.0	7.0	6.0	7.0	2.0	1.0	4.0	3.0	7.0	1.0		5.0	8.0	6.0	4.0	5.0		8.0	5.0	4.0	5.0	5.0	3.0	6.0	5.0	4.0	5.0	7.0	4.0	11.0	2.0	4.0	2.0	4.0	0.0	6.0		7.0	5.0		5.0	7.0		5.0	4.0	4.0		6.0	5.0	7.0	5.0	6.0	4.0		6.0	5.0	6.0	6.0	7.0	6.0		5.0	5.0	7.0	5.0	4.0	7.0	8.0	4.0	9.0	7.0	7.0	7.0	7.0		4.0		5.0	7.0	4.0	4.0	5.0	7.0	4.0	5.0	4.0	5.0	5.0	4.0	9.0	3.0	7.0	7.0	7.0	7.0	8.0	6.0
C00319	6.0	6.0	4.0		3.0		8.0	6.0	4.0	3.0	6.0	4.0	6.0		5.0	4.0	9.0	6.0	4.0	4.0	4.0	6.0	3.0	8.0		6.0	8.0	6.0	4.0	5.0	5.0	4.0	3.0	7.0	5.0		5.0	10.0	6.0	5.0	4.0		9.0	5.0	4.0	5.0	5.0	7.0	5.0	5.0	4.0	5.0	8.0	4.0	5.0	6.0	5.0	5.0	5.0	6.0	0.0		8.0	5.0		6.0	7.0		6.0	4.0	4.0		6.0	5.0	8.0	5.0	5.0	4.0		7.0	6.0	4.0	6.0	8.0	6.0		5.0	3.0	8.0	5.0	6.0	8.0	7.0	4.0	9.0	4.0	8.0	8.0	6.0		5.0		6.0	8.0	5.0	4.0	6.0	8.0	5.0	7.0	5.0	5.0	4.0	4.0	9.0	5.0	8.0	8.0	8.0	8.0	2.0	7.0
C00322														5.0																																																0.0										4.0														1.0																																				
C00334	8.0	8.0	4.0		6.0		6.0	7.0	6.0	7.0	8.0	8.0	8.0		8.0	6.0	11.0	8.0	7.0	5.0	7.0	7.0	7.0	11.0		6.0	6.0	5.0	9.0	8.0	7.0	8.0	7.0	7.0	6.0		8.0	8.0	8.0	5.0	7.0		10.0	8.0	7.0	7.0	8.0	7.0	8.0	7.0	8.0	8.0	2.0	7.0	12.0	7.0	7.0	6.0	7.0	7.0	8.0		0.0	7.0		6.0	7.0		8.0	6.0	8.0		9.0	7.0	9.0	7.0	9.0	7.0		5.0	9.0	7.0	8.0	2.0	9.0		9.0	7.0	2.0	8.0	8.0	2.0	6.0	7.0	12.0	8.0	2.0	2.0	9.0		5.0		6.0	2.0	7.0	8.0	9.0	9.0	5.0	10.0	5.0	8.0	7.0	7.0	12.0	7.0	2.0	2.0	2.0	2.0	9.0	4.0
C00337	3.0	3.0	3.0		3.0		7.0	5.0	3.0	3.0	4.0	1.0	5.0		2.0	3.0	6.0	2.0	3.0	4.0	4.0	3.0	4.0	8.0		6.0	7.0	4.0	7.0	4.0	4.0	2.0	4.0	6.0	4.0		1.0	7.0	5.0	4.0	4.0		6.0	2.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0	5.0	7.0	4.0	10.0	4.0	4.0	5.0	2.0	5.0	5.0		7.0	0.0		3.0	5.0		1.0	4.0	4.0		4.0	4.0	5.0	4.0	6.0	3.0		6.0	4.0	5.0	3.0	7.0	6.0		3.0	4.0	7.0	4.0	3.0	6.0	7.0	3.0	9.0	6.0	7.0	7.0	5.0		4.0		5.0	7.0	4.0	4.0	2.0	5.0	4.0	6.0	4.0	3.0	2.0	3.0	9.0	4.0	7.0	7.0	7.0	7.0	7.0	6.0
C00354																																																																	0.0																																																									
C00417	4.0	4.0	2.0		3.0		7.0	6.0	4.0	3.0	6.0	2.0	6.0		4.0	4.0	7.0	5.0	4.0	3.0	2.0	5.0	5.0	7.0		7.0	7.0	5.0	8.0	5.0	5.0	3.0	5.0	6.0	4.0		4.0	8.0	6.0	3.0	5.0		8.0	3.0	4.0	1.0	5.0	5.0	6.0	5.0	4.0	3.0	6.0	4.0	11.0	5.0	3.0	4.0	3.0	5.0	6.0		6.0	3.0		0.0	6.0		4.0	4.0	4.0		5.0	5.0	7.0	4.0	7.0	4.0		6.0	5.0	6.0	5.0	6.0	4.0		4.0	5.0	6.0	5.0	4.0	6.0	7.0	4.0	8.0	7.0	6.0	6.0	6.0		3.0		4.0	6.0	5.0	4.0	5.0	7.0	2.0	7.0	3.0	5.0	5.0	5.0	9.0	4.0	6.0	6.0	6.0	6.0	8.0	5.0
C00418	6.0	6.0	5.0		4.0		8.0	7.0	5.0	5.0	7.0	4.0	7.0		5.0	4.0	9.0	5.0	5.0	6.0	5.0	6.0	6.0	9.0		8.0	8.0	6.0	9.0	6.0	6.0	3.0	6.0	8.0	6.0		4.0	3.0	6.0	6.0	6.0		9.0	5.0	5.0	5.0	5.0	7.0	7.0	3.0	6.0	6.0	7.0	5.0	12.0	7.0	6.0	7.0	5.0	7.0	7.0		7.0	5.0		6.0	0.0		6.0	6.0	6.0		3.0	5.0	8.0	5.0	8.0	5.0		7.0	7.0	7.0	3.0	7.0	7.0		4.0	6.0	7.0	5.0	6.0	7.0	8.0	5.0	10.0	8.0	7.0	7.0	4.0		6.0		7.0	7.0	5.0	6.0	5.0	8.0	6.0	8.0	6.0	6.0	5.0	6.0	10.0	6.0	7.0	7.0	7.0	7.0	9.0	6.0
C00433																																																																				0.0																																																						
